MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,ZeroCrossings_1,SpectralContrast_1,SpectralContrast_2,SpectralContrast_3,SpectralContrast_4,SpectralContrast_5,SpectralContrast_6,SpectralContrast_7
-521.2085,96.21704,26.26426,20.654335,24.18824,11.344486,5.700449,4.566925,1.9164615,1.6741486,3.5660288,4.8799214,6.2254553,6.4696016,1.4714581,-4.811429,-7.4663963,-5.5357356,0.15051652,0.6951134,29.451866,29.451866,29.451866,29.451866,29.451866,-8.364626,-3.3175766,-2.4681492,-1.6401075,-0.26081598,0.010263776,-0.44330156,-0.9931271,-1.4345585,-1.3928959,-1.1318762,-1.1318762,-1.1318762,-1.1318762,-1.1318762,0.48043987,0.74965,0.8925282,0.76709116,0.7654188,0.8216451,0.9774621,1.0,0.841187,0.6596142,0.560819,0.44736564,0.1103515625,10.76055865327853,13.26808809295122,6.854086133940331,14.5647693630102,11.98248481834909,11.535717524105184,18.56666558252672
-549.34515,85.40522,41.420433,20.16666,16.823053,11.54788,5.636817,3.5243294,1.5858881,1.0271477,4.0477037,5.777859,4.283673,3.2917347,1.854481,-2.8970804,-6.4533434,-3.9699333,-0.46537328,-2.6442375,31.298258,31.298258,31.298258,31.298258,31.298258,-8.358113,-4.090122,-2.0162275,-1.2190499,-0.501919,-0.094680786,-0.33524528,-0.846703,-1.1878422,-1.2493088,-1.1794448,-1.1794448,-1.1794448,-1.1794448,-1.1794448,0.53125316,0.756682,0.8508906,0.7107639,0.7185983,0.79870635,0.96046066,1.0,0.8741962,0.70780694,0.61146194,0.5041084,0.15478515625,10.558617066117888,15.827306617689723,7.532396078987961,9.227672361765453,10.274172492099947,15.415811095734387,20.383327121130193
-610.1852,23.535917,20.955898,17.197136,12.937678,8.894035,5.660513,3.5840216,2.7041602,2.770873,3.3321602,3.866621,3.9254346,3.2473884,1.8190465,-0.13248217,-2.2090287,-3.9524727,-4.966975,-5.021298,39.213463,39.213463,39.213463,39.213463,39.213463,-2.8719797,-2.3258464,-1.6223549,-0.9433512,-0.4433104,-0.21395782,-0.26625085,-0.53347135,-0.89369243,-1.2050437,-1.3442783,-1.3442783,-1.3442783,-1.3442783,-1.3442783,1.0,0.5838292,0.29884627,0.35845813,0.3396065,0.29199332,0.30287707,0.36706144,0.25936133,0.3084021,0.43292397,0.7217213,0.1630859375,10.69186096158069,9.810338745801475,13.603116758388584,8.1865581356107,12.975432640867048,12.94041564364817,51.55520512980338
-596.68365,40.89502,33.580345,23.350048,12.543499,3.4306831,-2.3983915,-4.407733,-3.1519935,0.012210548,3.4250982,5.6592846,5.9209595,4.2050667,1.1831863,-2.107457,-4.648889,-5.766985,-5.2993298,-3.5749645,35.772358,35.772358,35.772358,35.772358,35.772358,-5.7364283,-3.831065,-1.7618134,-0.062290516,0.91277856,1.0659615,0.5514703,-0.30474377,-1.1268333,-1.610479,-1.6062341,-1.6062341,-1.6062341,-1.6062341,-1.6062341,1.0,0.7748274,0.31561252,0.4167058,0.7256045,0.47738194,0.1713825,0.12902863,0.13112341,0.097875796,0.10963197,0.29795673,0.13525390625,11.573044379500232,11.381440944365448,18.328415855317523,13.071663465921358,19.27013858383849,14.430257771068327,51.202481446111065
-580.85046,60.76521,47.71417,31.566845,15.681317,2.0274425,-7.2622366,-10.470768,-8.113673,-3.2820277,0.49046302,1.9712213,2.106419,1.3096533,-1.052148,-4.224807,-5.853559,-5.019909,-3.3400035,-2.517978,32.295784,32.295784,32.295784,32.295784,32.295784,-8.844854,-5.8921604,-2.9237573,-0.5295686,0.9787154,1.4312508,0.9494623,0.041088827,-0.6922369,-0.96249455,-0.86261,-0.86261,-0.86261,-0.86261,-0.86261,0.68372226,0.59374,0.31798258,0.5182791,1.0,0.67965275,0.547534,0.7067969,0.48183995,0.28344387,0.22779047,0.29388666,0.0693359375,12.881403846655118,8.679511627674357,17.09559557844376,10.290536392869445,19.353696754904387,13.947982045902645,51.70471376935308
-565.3577,77.20059,54.27116,33.64615,18.69889,4.841284,-8.123555,-14.511406,-11.142742,-3.0911999,1.3855337,1.3778551,2.83322,6.297658,4.969725,-2.2665422,-7.170625,-4.8993483,-0.62605184,-0.77175534,29.80216,29.80216,29.80216,29.80216,29.80216,-10.675774,-6.679842,-3.3316233,-0.7235764,1.383377,2.4536881,1.9590377,0.5075104,-0.6342227,-0.92416406,-0.8918437,-0.8918437,-0.8918437,-0.8918437,-0.8918437,1.0,0.5537888,0.35263535,0.41640148,0.50196046,0.7004453,0.96214646,0.7890121,0.41930455,0.32468867,0.31473485,0.4207773,0.03369140625,14.231711728639084,9.598200319745123,16.211043815810353,13.58046133405896,21.586681199535164,14.67305519882214,52.49185289351283
-551.6326,89.358,56.052277,33.390015,19.42791,6.722616,-3.0748775,-10.063239,-12.359816,-6.471775,-0.0651314,0.18494484,2.4077182,9.188982,8.676992,-0.87224925,-6.3370504,-2.8213637,1.0088214,-1.9276718,28.565098,28.565098,28.565098,28.565098,28.565098,-11.632745,-7.073605,-3.7828853,-1.3013804,0.9850717,2.3492656,2.2278125,1.1229653,-0.0009870927,-0.53789806,-0.86136484,-0.86136484,-0.86136484,-0.86136484,-0.86136484,1.0,0.39518228,0.12023438,0.19244851,0.49267066,0.47546524,0.5558493,0.3760572,0.24163729,0.3093664,0.28167415,0.6634995,0.03271484375,11.861338687581682,7.784938029833964,22.76447802244793,20.25843060182237,20.50905461753471,18.270527791463202,52.792741025999675
-544.6408,95.011246,56.834953,32.79745,15.026221,2.1918104,0.7699611,-3.527249,-13.074054,-9.231563,2.4737763,4.157132,3.234224,6.856801,4.938606,-0.27879894,2.045217,6.5020304,4.628772,-1.197803,28.131931,28.131931,28.131931,28.131931,28.131931,-11.893398,-6.7575226,-3.1484895,-0.7261451,0.94948906,1.5638664,1.6661493,1.5827451,0.9080202,0.10235104,-0.34731713,-0.34731713,-0.34731713,-0.34731713,-0.34731713,0.5767468,0.27071962,0.15546848,0.29046136,0.74692637,0.375598,0.30055302,0.3157668,0.21245745,0.24267232,0.7356282,1.0,0.03369140625,18.763895741315327,9.553614320166961,20.091992588883198,14.252730314976276,18.72958849888841,17.51208186670526,53.73861567431289
-542.93146,96.92725,59.886337,37.67357,17.53223,1.3744853,-0.57002926,-5.319957,-14.013845,-6.507843,5.8169823,4.4365816,2.4957159,5.8908367,2.4528477,-2.1088905,1.5907425,4.894712,3.2318594,-0.08935636,27.528616,27.528616,27.528616,27.528616,27.528616,-12.325504,-6.9768043,-3.2883694,-0.65622723,1.1101091,1.4947906,1.3953407,1.1723533,0.32996148,-0.31292957,-0.3124946,-0.3124946,-0.3124946,-0.3124946,-0.3124946,0.39036453,0.1601649,0.08885144,0.17785807,0.6797039,0.41788495,0.21089393,0.13054606,0.10184885,0.1753499,0.90994614,1.0,0.0322265625,15.536841720547946,12.05408410566022,20.63877285819224,20.793806284075693,18.979805908505764,16.060443271962136,54.43371275728826
-546.62305,93.25099,59.943348,41.458305,22.91672,5.3060827,-0.07941222,-6.998208,-14.782919,-6.3343487,4.559106,2.3549652,1.641938,5.4138236,1.9053711,-1.3723655,1.7816019,2.2275274,0.58757085,-0.15921059,27.840252,27.840252,27.840252,27.840252,27.840252,-12.373822,-7.5436416,-4.1578426,-1.4001931,0.72738975,1.4452376,1.552457,1.3149236,0.31206274,-0.37958857,-0.32860276,-0.32860276,-0.32860276,-0.32860276,-0.32860276,0.53949827,0.19405921,0.10906238,0.16138399,0.93234634,0.8546876,0.3866603,0.36434674,0.45086733,0.58106095,0.78902423,1.0,0.03076171875,14.982147329206187,16.45712325223751,15.780452161232576,12.42064060812335,18.631488100203125,16.032158874066113,54.88894557474339
-549.1495,91.08701,59.519512,40.082005,18.875202,0.16658127,-2.222587,-4.145219,-11.329261,-7.7444186,-0.22697276,-0.9794748,0.8400543,6.150861,3.0991468,-2.4612045,-2.1768115,0.09281851,3.5029206,5.7415724,28.369741,28.369741,28.369741,28.369741,28.369741,-11.957071,-7.453099,-4.1080184,-1.2531122,0.84264696,1.3879791,1.3146478,1.1040336,0.4132511,0.058177613,0.29134575,0.29134575,0.29134575,0.29134575,0.29134575,0.29133928,0.18960401,0.19154374,0.30329093,1.0,0.64523244,0.4411212,0.5119776,0.694837,0.6830901,0.4242226,0.3391961,0.0322265625,18.240017732411516,13.805168962882384,18.47006555633136,13.719475123978825,17.946120143189624,17.16782776481875,55.23540001925705
-540.1133,100.82801,63.11235,38.874405,15.078839,-4.2444735,-4.484437,-3.280174,-9.81456,-7.1504064,0.8099663,0.7485914,1.9855657,6.907091,3.1130824,-5.1559577,-6.5004873,-2.439647,2.4589608,4.0318675,27.175964,27.175964,27.175964,27.175964,27.175964,-12.576114,-7.268441,-3.4408643,-0.51125544,1.3783054,1.5408521,1.0095065,0.5000728,-0.22949842,-0.5333982,-0.22922927,-0.22922927,-0.22922927,-0.22922927,-0.22922927,0.45852882,0.39269075,0.2971622,0.47639164,0.7753129,0.48495603,1.0,0.99715734,0.39510104,0.2926535,0.536778,0.59823674,0.03076171875,21.40218709917749,9.887225583750286,20.385523127682177,14.959830214006026,19.54197083785074,17.10459177699328,56.1782447676548
-540.1816,100.22978,60.842632,35.736614,14.392132,-1.5536748,-0.6607857,0.50030476,-6.147376,-3.9924598,3.8048759,3.4251509,2.6284099,5.3303056,1.5414319,-4.6723146,-3.0994072,2.724729,6.196292,4.5717387,27.944187,27.944187,27.944187,27.944187,27.944187,-11.723076,-6.4393883,-2.8561964,-0.46133086,0.88675755,0.80446756,0.3307502,0.12550963,-0.18543337,-0.23323092,0.09063342,0.09063342,0.09063342,0.09063342,0.09063342,0.63172907,0.59270114,0.3884362,0.29753065,0.54096746,0.66561586,1.0,0.5598286,0.25825742,0.20237274,0.42317462,0.60416293,0.0302734375,26.529536723660318,14.424453747518957,18.3221625767054,12.405729039874053,18.945823532543653,17.756069517856133,55.67333408071399
-540.9602,100.51056,59.73954,30.568693,11.781317,0.23666963,-1.7493978,-3.7636166,-8.06722,-3.3898683,6.407215,8.442991,5.987456,5.426838,2.6901128,-2.6633558,-4.5384336,-1.9769424,0.056698173,-2.0719779,27.757326,27.757326,27.757326,27.757326,27.757326,-11.686955,-5.9817057,-1.9699335,0.30217493,1.3809814,1.4211936,0.8981116,0.097405404,-0.87825465,-1.430064,-1.3648043,-1.3648043,-1.3648043,-1.3648043,-1.3648043,1.0,0.7424521,0.34010705,0.41906217,0.66191465,0.61074203,0.42435044,0.28887358,0.4101162,0.31732446,0.26761484,0.5692037,0.0302734375,28.003913605257516,9.877241824003105,13.612875525013308,14.03069368516677,14.940984136314658,17.820373101226153,54.956748713713225
-512.1154,124.31363,52.998924,10.673528,0.032316744,0.25733855,-0.035342205,-4.6353545,-5.065524,4.571874,11.211019,4.6298866,-3.6955228,-1.4514513,2.3147042,-3.036757,-6.4524784,0.47667226,5.3225803,1.8923628,25.414465,25.414465,25.414465,25.414465,25.414465,-11.397429,-3.342416,0.21600717,0.4984373,0.28318873,0.3624985,0.026364712,-0.8707946,-1.3115727,-0.7185435,0.18655464,0.18655464,0.18655464,0.18655464,0.18655464,0.87152845,0.66399205,0.3556314,0.32344735,0.7686242,0.97391444,1.0,0.8559121,0.68105185,0.7397138,0.43804827,0.41529644,0.03173828125,26.122775131284104,9.952834731461113,11.50935272071762,13.06608367999081,17.777201561320137,17.809470491024854,56.08912551078485
-409.4178,151.74603,1.8070616,18.294968,-7.8584414,-7.781356,10.340607,-25.874048,-7.2598305,14.996674,-3.9178333,4.626897,-5.5167623,-18.781593,4.764881,-3.195178,-20.719587,3.1505995,16.13851,0.38933897,17.779373,17.779373,17.779373,17.779373,17.779373,-10.738952,-0.82816553,-0.2482473,0.98242193,-0.45381948,-0.13181964,0.9605692,-1.9076273,-1.7192011,1.0162874,1.1065917,1.1065917,1.1065917,1.1065917,1.1065917,0.25301483,0.09779108,0.021683235,0.03973696,0.2723881,1.0,0.45130274,0.11961639,0.038172774,0.029242616,0.023476237,0.07114536,0.041015625,28.421335951334534,7.656390659291361,24.026972708665326,13.534506635346842,22.348149213229807,25.19220114191932,60.40534971978226
-365.4723,153.3046,-23.396276,32.70679,-6.662131,-16.519295,8.90877,-35.514793,-9.474594,19.93769,-6.8644533,8.227413,-4.117157,-21.185656,4.7446694,-2.1862628,-21.51319,-3.6132267,16.871956,-0.5511493,14.548611,14.548611,14.548611,14.548611,14.548611,-10.20958,0.053326115,-0.7332312,1.8054343,0.53918886,0.42226017,1.6078752,-2.0120177,-2.5019233,0.7271841,0.6123348,0.6123348,0.6123348,0.6123348,0.6123348,0.3646996,0.0676049,0.012695151,0.034947,0.32872465,1.0,0.32659224,0.069739245,0.018776411,0.020577537,0.021198945,0.14398165,0.0390625,29.65193853710837,21.61679890803837,22.916435558670837,17.852610340843086,24.97262817042775,31.313062515298125,63.294265311435865
-373.11823,151.31981,-19.102226,38.84957,3.1502442,-16.615372,3.9981685,-37.694702,-15.826035,16.637363,-7.1494246,9.104258,-1.2243911,-25.095877,5.4643593,6.73919,-21.195175,-10.2337,12.223017,-2.7094505,14.214352,14.214352,14.214352,14.214352,14.214352,-11.352364,-1.2976217,-1.7199832,1.528287,0.8780805,1.088857,2.7344217,-1.0023942,-2.4610481,0.18948986,-0.06412982,-0.06412982,-0.06412982,-0.06412982,-0.06412982,0.4161105,0.050678547,0.011212425,0.047677483,0.5113204,1.0,0.37423566,0.054493655,0.016336793,0.01869047,0.039928786,0.28776294,0.0361328125,30.92607096095747,23.01772269183423,20.99565077764916,18.470315171240113,25.503723843964362,31.4971366750574,59.239918201052774
-402.41806,159.7953,1.8364968,29.156528,15.534541,-12.315954,-6.384778,-27.537306,-16.136019,0.12921119,-8.903301,10.706434,1.7555604,-27.848389,0.93865466,15.233475,-17.04719,-13.564726,5.759495,-10.21848,15.420255,15.420255,15.420255,15.420255,15.420255,-13.798148,-3.476727,-2.1995802,0.60967857,0.7668579,1.2453477,2.95018,0.37995327,-1.1828372,-0.14476556,-1.0184395,-1.0184395,-1.0184395,-1.0184395,-1.0184395,0.08190193,0.024245884,0.008389763,0.029623754,0.34277824,1.0,0.9152344,0.23580073,0.024566999,0.006117431,0.012893669,0.060061138,0.033203125,32.41281451762872,23.039546673321176,18.648042750768962,17.471704956525343,21.56245515909065,26.287180257456225,57.45243444571502
-385.6016,158.37369,-3.118922,45.393692,6.6777368,-31.175049,4.9440002,-16.632193,-29.248737,-8.288412,-6.8817053,4.609174,-2.8119955,-25.03211,-1.2968495,8.869638,-16.169125,-6.685791,5.2991924,-16.19441,13.999182,13.999182,13.999182,13.999182,13.999182,-14.513722,-3.8901255,-3.203931,0.90143514,1.1025589,0.26013196,2.6074216,1.4220172,-0.19026163,0.36710313,-0.6176735,-0.6176735,-0.6176735,-0.6176735,-0.6176735,0.0103477845,0.020552536,0.03249731,0.020315763,0.12779872,0.58305514,1.0,0.9403461,0.33920965,0.038338263,0.006015957,0.0057008904,0.02587890625,29.19769649395127,20.26546129181581,18.138679758220647,20.473582154000958,18.915881223934203,24.158080085091,58.0002170241238
-357.02972,148.33109,-13.660246,70.2095,-9.9239025,-49.148567,16.629055,-17.85487,-37.883526,-9.54361,-11.166663,6.3116207,-9.346638,-23.86583,8.415311,2.0116832,-11.80571,0.39579153,6.280122,-16.5974,11.987457,11.987457,11.987457,11.987457,11.987457,-14.229074,-4.2318425,-3.9103746,2.0234907,1.6375619,0.36735252,3.192305,2.4660606,0.7833756,1.2166504,-0.27422643,-0.27422643,-0.27422643,-0.27422643,-0.27422643,0.0021063283,0.0052106557,0.024247035,0.026088716,0.012225161,0.06445976,0.099301584,0.63720727,1.0,0.22985679,0.017026618,0.0036542334,0.0302734375,37.82744889660348,22.53926479771089,27.77999832472965,19.396620729979258,20.4057655354427,29.164158583083495,58.59683492048899
-344.45425,137.95102,-17.9392,79.34329,-10.964809,-46.24008,12.527696,-17.168032,-39.495827,-14.049637,-17.276348,9.091946,-6.4219375,-27.520615,9.023907,-2.8552957,-7.019581,2.9656968,4.31581,-14.442178,11.497116,11.497116,11.497116,11.497116,11.497116,-14.036711,-5.091956,-4.793044,2.1279647,1.5461401,0.7369409,3.1120434,2.991266,1.5063833,1.5243319,-0.28323525,-0.28323525,-0.28323525,-0.28323525,-0.28323525,0.00055675535,0.0009875038,0.0028271507,0.008144526,0.0056053116,0.009780033,0.020374019,0.15900749,1.0,0.851566,0.08062426,0.0018316816,0.03662109375,25.434311373125002,23.38288315865298,40.10309412735318,19.361562935436936,21.014943872272994,30.87058945780933,58.859616108715784
